"","p.value","HR","Low 95%CI","High 95%CI"
"APOBEC3A",0.214535660823435,0.940340050128326,0.853294890830273,1.03626474197561
"CCL8",0.479218233780382,0.966777036700616,0.880399538079594,1.06162917887302
"EPSTI1",0.0792033371205082,0.893059183628321,0.78710755865586,1.01327283252732
"ETV7",0.00396619411793686,0.854434570010161,0.767709344075105,0.950956817267848
"HSH2D",0.180050794343662,0.931829221886336,0.840438296143703,1.03315817799529
"IFI6",0.268396421188475,0.94617794237624,0.857873279564977,1.04357219179657
"IL22RA1",0.00178547747784617,0.836365487576883,0.74766099772984,0.935594114088692
"ISG15",0.242310549926538,0.944915514566836,0.859299603445543,1.03906172665387
"OAS1",0.219289944992388,0.922822325138759,0.811826777734906,1.04899353794485
"OAS2",0.0843404294729445,0.899289367287097,0.797170173442932,1.01449024694791
"OAS3",0.545250295890307,0.958665236924935,0.836112292431841,1.09918134777723
"OASL",0.0766737236287796,0.909546548916605,0.818915396866063,1.01020804812321
"PSME2",0.000245196221413578,0.65256138001418,0.519451485600553,0.819780800498992
"RSAD2",0.655453758073182,0.975496637495424,0.874780556925131,1.08780845919775
"TAP1",0.00554089919637067,0.814397967210824,0.704423026668112,0.941542260670035
"ABCD2",5.04707620922357e-06,0.794307152139255,0.719496080198328,0.876896857819795
"ACSL1",0.817212976773367,1.01767707828484,0.877158668568948,1.18070615132381
"ACSL5",0.000186122532837276,0.788346338974197,0.695904734186162,0.893067570377765
"ADAM19",0.25166031993677,0.91451543566416,0.784939701440209,1.06548118350173
"ADAM8",0.198023464218711,0.92071961687108,0.811906213331747,1.04411642499014
"ADAMDEC1",0.0669650530871217,0.936546515799267,0.873109126565942,1.00459306811461
"ADAMTSL4",0.0161938106120803,0.850923444085847,0.746007201530419,0.970594796148754
"ADORA2A",0.32798169897392,0.944661099711966,0.842824928955932,1.05880184917463
"ADRB2",0.00146086160020555,0.826558068941645,0.73506067059906,0.929444695736132
"AGMAT",0.0786871054365973,0.872093336659603,0.748705504142079,1.0158156760415
"AIM2",0.0429553707131345,0.911186373693957,0.832712665540131,0.997055337289728
"AKAP7",0.0084898620506273,0.7414869995778,0.59343306686995,0.926478488033727
"ALDH1A1",0.00233309737134994,0.84334563901807,0.755727434944566,0.941122200893722
"ALDH2",0.0148947669515731,0.849066316538172,0.744293230197946,0.968588159384401
"ALPL",0.384234543392656,0.948021435025542,0.840621685117743,1.06914282272174
"ALS2CL",0.164322011789719,0.900328740721729,0.776490411386592,1.0439173871086
"AMPD1",0.00215002018378184,0.848970600218717,0.764674361860414,0.942559494582999
"ANGPTL6",0.260053599183973,0.916647389779091,0.787817210862302,1.06654491118458
"ANKDD1A",0.000423043302026846,0.680328404919121,0.549179564272342,0.842796725608433
"ANKRD22",0.334918398788129,0.943712580095876,0.838877360780806,1.06164914619018
"AP1M2",0.0680967040317714,1.25045334151279,0.983524932671036,1.58982605052422
"APBB1IP",0.00152070552310639,0.796144600000933,0.691497029948106,0.916628989944053
"APOBEC3C",0.00041297646088176,0.764457498999633,0.658594049641626,0.887337606671019
"APOC1",0.0828289368840351,0.893110812302809,0.78601180516117,1.01480272664432
"APOC2",0.657691715098251,0.975178557956601,0.872570038044794,1.08985316757977
"ARHGAP10",0.242645271325372,0.897089654325202,0.747685752321315,1.0763477107846
"ARHGAP26",0.00237596928552968,0.7836911776311,0.669681797200451,0.917109983374663
"ARID5A",0.000743970551524704,0.771226195938147,0.663166968257454,0.896893050726127
"ARPC1B",0.216085245092509,0.875942208823832,0.710118918493358,1.08048769469074
"ART4",0.246528149955904,0.92577661462126,0.81256259675303,1.05476469579623
"ATF3",0.0568045978554762,0.895772001630197,0.799854284786027,1.00319207406537
"ATP8A1",0.25886162464237,0.92810292473719,0.815355012840594,1.05644170372462
"ATP8B4",0.0262731642599601,0.833346403150975,0.709565890240247,0.978719858432784
"B3GALT2",0.142220326101125,0.883735256189068,0.749263712318608,1.04234062078728
"B3GAT1",0.172026985670173,0.943357417910634,0.867628512495669,1.02569614196659
"BANK1",0.00118501057587817,0.865021880146693,0.792432019269875,0.944261255144572
"BIN1",0.0323267163687046,0.862932072368395,0.753961129062584,0.987652722160696
"BMP6",0.117218696892684,0.898418120820521,0.785731327172303,1.02726605380935
"BST1",0.0909043423590267,0.847426445426124,0.699440509175922,1.02672288920419
"BTN1A1",0.186322386668785,0.906478549140626,0.783636629069623,1.04857701844242
"C10orf105",0.00381006801541725,0.813964084761086,0.708029811011841,0.935748073000096
"C1orf127",0.0808923851945517,1.11690655120855,0.986509563373321,1.26453943321835
"C2orf88",0.000869994046849825,0.801954762036905,0.70424907802261,0.913215878335905
"C3",0.00121275279737435,0.839740853654137,0.755440124446437,0.933448831318699
"C7orf31",0.0235797014895815,0.832022426921446,0.709565481472795,0.975613015254596
"CACNA1E",0.0105544533619037,0.835195303727216,0.727512634968642,0.958816605842265
"CALCR",0.937929581618195,0.995264663922374,0.883191702927997,1.12155916769666
"CANT1",0.100129276494074,1.19980513226781,0.965625155005598,1.49077760449172
"CAPN3",0.0044093463581379,0.8244742547149,0.721899303793436,0.941624120034053
"CARD6",0.0324407500396022,0.826503148200065,0.694086345445091,0.984182239670151
"CASKIN1",0.353043567127344,0.952658672709188,0.859975236348665,1.05533102388087
"CASP10",0.0302958053639449,0.835003734843877,0.709304377685767,0.982978900367239
"CATSPER1",0.1175774088846,0.882456005082759,0.75453872196795,1.03205916175591
"CCDC141",0.00359064975925353,0.807817139535052,0.699728955954536,0.932601867299306
"CCDC69",0.000143481855617654,0.784972765317578,0.692871135604501,0.889317234658263
"CCL11",0.00500070455781622,0.865072665629695,0.78180764173003,0.957205681903636
"CCL13",0.00665749098216431,0.892992993492155,0.822897331004392,0.969059512506577
"CCL21",0.0156778808455793,0.935170549825736,0.885685247149717,0.987420711901658
"CCL23",0.000266519556453834,0.768047336157866,0.666459583745383,0.8851200057235
"CCL7",0.23325441750858,0.94854005103155,0.8696202993084,1.03462192536959
"CCND2",8.89785234284237e-05,0.740900267120301,0.637707377471766,0.860791681594176
"CCR4",0.0024101069664478,0.871578027966999,0.797534120537325,0.952496249719126
"CCR8",0.359795026962011,0.953452758222536,0.860981552534248,1.05585556332347
"CD163L1",0.0720588649877665,1.1042485950462,0.991151414369578,1.23025094045503
"CD19",0.000213868656448892,0.866810376797454,0.803636071019527,0.934950852032484
"CD1A",0.0105131616984205,0.902056807630863,0.8335661473364,0.976175060363624
"CD1C",6.36496778644215e-05,0.853593162764596,0.789868610483043,0.922458846760449
"CD200R1",0.00116814690680978,0.821370204135062,0.729365915863501,0.924980174652323
"CD209",0.105225563524271,0.915969247371816,0.823688906059613,1.01858803239748
"CD300LF",0.0109910064499735,0.83103548762173,0.720555873127406,0.958454448076608
"CD80",0.514725402290012,0.961004142367185,0.85262086917482,1.08316485677942
"CDH20",0.0518733526313967,0.852735936328105,0.726218923540126,1.00129389848541
"CEBPA",0.719007442260125,0.969857059450584,0.820912608688322,1.14582564064778
"CELF2",0.00590509787530649,0.826734013894294,0.721997230570962,0.946664475692325
"CFP",0.000309515694619606,0.810693403500285,0.723326104278892,0.908613404923474
"CGN",0.542084567920742,0.952497507623902,0.814544393953951,1.11381467819793
"CH25H",0.00627903482894329,0.855107247317637,0.764304673462771,0.956697544583003
"CHST11",0.00975965857878383,0.808546930247782,0.688186093359605,0.949958368414024
"CHST2",0.00418650098853827,0.808557414473547,0.699113810594699,0.935133997630548
"CLDND2",0.68109861081501,0.963192537149426,0.805448858270548,1.15182963399114
"CLEC10A",0.000128379468619235,0.872231154238568,0.813292588999343,0.935440943044127
"CLEC4F",0.00203224481556338,0.848874157020236,0.764967570319773,0.941984160394662
"CLEC4G",0.318410479452602,0.930312296030726,0.807239394928605,1.07214907198937
"CLEC5A",0.434616576115493,0.957373455640804,0.858268638104899,1.06792196856853
"CLIC2",0.00497508478914458,0.803158167845755,0.689236257044241,0.935909908952953
"CNR1",0.153560893731263,0.938557526695877,0.860276544261692,1.02396169789039
"COL23A1",0.0317925856430573,0.867534627955384,0.76199130205648,0.987696747548834
"COL4A3",0.0102318111678557,0.877345915119863,0.793954503904353,0.969496175148896
"COL4A4",0.00326552444546584,0.854406271958782,0.769365202696615,0.948847276954858
"COL6A6",0.000540455870347574,0.86712822652265,0.799849659488584,0.940065864018847
"COLEC11",0.101531817622767,0.906805722839476,0.806605459861676,1.01945332618433
"CP",0.915629467226018,1.00273906663941,0.953257936725576,1.0547886327794
"CPM",0.327219009266022,0.922306576357882,0.784527020585811,1.08428313935932
"CR1",0.0469498385378296,0.915339492137216,0.838846329145785,0.998807954156768
"CRB2",0.00826005803254065,0.85208109227442,0.756647622077684,0.959551271459659
"CSAG3",0.103520172459305,0.934770950011861,0.861861382942963,1.01384833603097
"CSF1",0.092704133623634,0.871995530676443,0.74330879989907,1.02296139319612
"CSTA",0.00872286203146644,0.866338738167876,0.778254806462584,0.964392128410698
"CTSD",0.301007087297909,0.914880928175281,0.77294758209973,1.08287694032901
"CXCL10",0.0451993229095742,0.918975894355064,0.846044095636176,0.99819465529236
"CXCL11",0.0390511490387601,0.919708942356553,0.84942908088095,0.995803602312928
"CXCL13",5.47355955080332e-05,0.884265346123604,0.832974904485983,0.938713997437427
"CXCL9",0.0015679801351002,0.896838335093451,0.838305269466943,0.959458360323369
"CXCR2",0.00504368278777135,0.805554633513368,0.692567126400368,0.936975266134307
"CXCR3",0.000214755425078637,0.844995382816393,0.772890617926955,0.923826969068608
"CXCR5",0.00180002469774882,0.864680831161627,0.78923560912051,0.947338071341632
"DACT2",8.0389920426494e-06,0.7761346457892,0.694407468516324,0.867480572582819
"DHRS9",0.0235807204285553,0.889891835432009,0.804407193661195,0.98446096082787
"DNAH1",0.0148085094799521,0.80396304442623,0.674563502484723,0.958184921689756
"DNAJC5B",0.0412090588979879,0.891790235617638,0.798932401098704,0.995440694668621
"DPEP1",0.0749324354512058,0.916952443986793,0.833503051100103,1.00875669671949
"DPF3",0.217092405474688,0.930942655977592,0.830950275412247,1.04296761715212
"DPYD",0.00370443999784988,0.808077348920798,0.699768532627211,0.933149993737619
"DPYS",0.104179217389279,0.868817635811275,0.733271772954396,1.02941925782221
"DTX1",0.000592768475696205,0.808356281376376,0.715946785000846,0.912693361197049
"EMILIN2",0.0304613737445432,0.847449379620997,0.729468597863009,0.984511811918849
"ENTHD1",0.00907282822801013,0.838945657323125,0.735269900985402,0.957240076056512
"EPHB6",0.00227067745315807,0.859225543378705,0.779464113905581,0.947148843960583
"ESM1",0.081396443256307,1.12473128948345,0.985448062999501,1.28370080681132
"ESR2",0.00016431511336657,0.696333935620866,0.576853574218842,0.840561576746501
"FABP5",0.0462825627103408,0.89386211892457,0.800468359214032,0.998152492164509
"FAM153A",0.0732428875863631,0.854091597919346,0.718720672929444,1.0149596152051
"FAM20A",0.00352953863064478,0.83520820383166,0.740039911579722,0.942615030395642
"FCER2",0.00466890847401984,0.883421826173429,0.810724308469143,0.962638118540268
"FCGR1A",0.17503647142853,0.899190531405355,0.771185131224608,1.04844294713659
"FCGR1B",0.256816187826678,0.906737363650246,0.765580343575312,1.07392078903149
"FCGR3A",0.655612605526905,0.966630336477945,0.832690654399475,1.12211444005376
"FCN1",0.00579567678990209,0.893270620038853,0.824448408022763,0.96783788149733
"FCRL4",0.0514746759718079,0.864787082354299,0.747161776488924,1.00093008146268
"FFAR3",0.104374909268964,0.895854389350496,0.784502169122463,1.02301194121143
"FGL2",0.00106830713960536,0.82315574878515,0.732576745345098,0.924934337683418
"FKBP4",0.076039663498398,1.21575228004792,0.979745786289179,1.50860930164332
"FKBP5",0.0135233327237024,0.845747945873865,0.740454959196355,0.966013636705458
"FLI1",0.00261668513713255,0.771007701265117,0.650886042797283,0.913297929781022
"FMO2",0.0370767637247695,0.918657975883354,0.848234578171253,0.994928170074807
"FMO3",0.371380431956588,0.954078098214443,0.860635385561277,1.05766626932129
"FOLR2",0.155880975808386,0.920276993235882,0.820510253754422,1.03217447972656
"FOXP3",0.0210670536377324,0.876907252682539,0.784303308705598,0.980445092188033
"FRMD4A",0.850842352315216,1.02163666858124,0.817335074351275,1.27700561904577
"FUT7",0.00191794960678281,0.841307702359565,0.754307458661295,0.938342372095451
"FYN",0.00211298321473292,0.75648845625282,0.633175679846438,0.903816748903823
"GAB3",0.00199361488968138,0.776947276998327,0.662055360242868,0.911777333867779
"GABRE",0.214123707857735,0.949426566455415,0.874787561741314,1.03043395278393
"GALNT12",0.0672190395033748,0.888807808181501,0.783404968190029,1.00839202195713
"GBP2",1.95096400396346e-05,0.711122764031732,0.608124932588561,0.831565289342064
"GBP5",0.0018669166380048,0.876571247164536,0.80674856871135,0.952436956390202
"GFOD1",0.863647921869575,0.986022671886737,0.839689520773383,1.15785738111772
"GFRA2",0.031721149425099,0.882641899712795,0.787613152974109,0.989136253231442
"GIMAP1",0.00247972638884054,0.822779984721233,0.725118140589095,0.933595321043681
"GIMAP4",0.00227495799579896,0.77923522635595,0.663886733609854,0.914625202242476
"GIMAP5",0.000468014319072763,0.791474937456501,0.694284427893242,0.902270815035616
"GIMAP6",0.00383065221914416,0.805251808738259,0.695304412747209,0.932585013971409
"GIMAP7",0.00010602396623052,0.772954296722547,0.678582115573787,0.880451062752599
"GIMAP8",0.00567201530036455,0.803080033261618,0.687504788157693,0.938084433639684
"GLT1D1",0.00546639206083971,0.82335137536132,0.717847038138525,0.944362031592807
"GPBAR1",0.0174080386379798,0.829660573724614,0.711306741087976,0.967707218042406
"GPR141",0.989470837673952,1.00085018889816,0.882174279323263,1.13549116551654
"GPR15",0.424209483341322,0.950824310707734,0.840212570154848,1.07599779144725
"GPR34",0.908289059993065,1.00845531056055,0.873860606803789,1.163780705389
"GPR84",0.0143958415034178,0.849714103257629,0.745809849837185,0.9680940221325
"GRIP2",0.154419762275008,0.904527727762432,0.787854026561481,1.03847969637459
"GRK5",0.440161764369087,0.924035347551266,0.756082669194872,1.12929625067774
"GTF2IRD1",0.0870769554203125,1.30429731609175,0.96208520243368,1.76823371200474
"GYPC",0.00349206526151756,0.791749615149432,0.676916474224246,0.926063224872272
"HAAO",0.0163919127383917,0.850258765772747,0.744767321158477,0.970692387051663
"HABP4",0.378700655658204,0.90320009435182,0.72000813482543,1.13300165787005
"HBEGF",0.0736214967181267,0.862991647715637,0.734338154432375,1.01418478603039
"HSD11B1",5.88081333827569e-06,0.784884048691825,0.706802453607386,0.871591442201006
"HTRA4",0.0194208729803459,0.863849802274801,0.764080546287327,0.97664635556576
"ICAM2",0.000609553916228823,0.753174884333309,0.640467395443291,0.885716291612102
"ICOS",0.00168014600555317,0.872036119102571,0.800637106905355,0.949802334242006
"IFI30",0.0339151021999247,0.835641662741629,0.707886232388171,0.986453693489382
"IFNGR1",0.265024520083837,0.860694416462663,0.661125343069406,1.12050594686133
"IKBKE",0.318583271649508,0.907604422278689,0.750167328642667,1.09808272886303
"IL12A",0.0985157043441228,0.919128572093446,0.831625141070933,1.01583909662789
"IL12B",5.63330890724565e-06,0.759692042098543,0.674689975243238,0.855403251871035
"IL21R",0.0157262038499662,0.881663262725253,0.796004307786098,0.976540078032119
"IL4I1",0.00281551626434939,0.847131718822056,0.759762675248982,0.94454778105444
"IL6",0.0343998513549297,0.918333043402953,0.848629934479237,0.993761290218033
"IL6R",0.326795344196654,0.93761559295444,0.82434519684965,1.06645007881528
"IL7",0.0058903293728348,0.837784983938337,0.738625261110047,0.950256803101656
